Mensagem,label_ids,label_names,LLM_CORRETO (S/N),OBSERVACAO_HUMANA
"A Europa sofre um aumento de 1580% nas mortes infantis após a aprovação da vacina COVID, de acordo com a EMA.

Se inscreva no melhor canal de notícias GRATUITO e NACIONALISTA do telegram, acesse o link: 
https://t.me/+sIzajq1LEe04OWQx","2.2,4.1,6.4","Selective Reporting,Alarmism,High-Risk Groups",,
Isso tem a ver com aquela vacina muita gente está morrendo de câncer,"4.1,6.2,7.1","Alarmism,Specific Side Effects,Viral Myths",,
"Enquanto pequenos ditadores querem obrigar o uso da vacina, Nova Iorque está pagando 100 dólares pra quem tomar. E ainda assim, muitos não querem.  https://www1.nyc.gov/site/coronavirus/vaccines/vaccine-incentives.page",4.5,Autonomy Rights,,
Sem contar as propinas das vacinas,"2.3,4.4","Conspiracy,Financial Misconduct",,
eu abraço a vacina  abrace vc também  https://youtu.be/9e3dKxuX_pY,0,Not misinformation,,
"Só as mortes por vacina nos ultimos 2 anos ja superou o holocausto, médico que falou que passou dos 14 milhões de mortes. E não sei se isso só nos eua","1.1,2.1,4.1","Anecdotal Evidence,Fabricated Studies,Alarmism",,
Saiu pra vacinar  e não voltou até agora,0,Not misinformation,,
"*VACINA CONTRA A DENGUE DO BUTANTAN ATINGE EFICÁCIA DE 79,6%*
https://campos24horas.com.br/noticia/vacina-contra-a-dengue-do-butantan-atinge-eficacia-de-796",0,Not misinformation,,
"Não tome a vacina da China, Tome. comprimidos ivermectina","3.1,3.2","Alternative Products/Therapies,Alternatives to Vaccination",,
"https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2023/06/17/bolsonaro-volta-a-espalhar-fake-news-e-diz-que-vacinas-tem-grafeno-que-se-acumula-no-testiculo.htm

Cassacao de direitos políticos é muito pouco obra esse senhor!",0,Not misinformation,,
“Será que somos cobaias?” Idosos franceses desconfiam de vacina contra Covid  *Confira aqui:*   https://www.ultimasnoticiasdobrasil.com/2020/12/sera-que-somos-cobaias-idosos-franceses.html *Compartilhe para todos*,"2.3,4.1","Conspiracy,Alarmism",,
Técnicas de enfermagem são atropeladas em drive de vacinação da Covid na BA; uma delas ficou embaixo de carro https://accesscanal.com/Tecnicasdeemfermagems-893,0,Not misinformation,,
Deputado contrário à vacina obrigatória morre de coronavírus - CartaCapital https://www.cartacapital.com.br/cartaexpressa/deputado-contrario-a-vacina-obrigatoria-morre-de-coronavirus/#.YE0j9rdmC5Q.whatsapp,0,Not misinformation,,
"Obrigado, meu Deus, Viva!Deus que iluminou e concedeu sabedoria e conhecimento aos envolvidos nesta vacina, em especial aos cientistas! Viva a Ciência! Viva a Ciência Brasileira! Viva as universidades! 🙌🏻🙏🏻 👏🏻💪🏻",0,Not misinformation,,
Vacinação: Adultos de 20 a 49 anos devem tomar dose extra da vacina contra o sarampo    https://bsbtimes.com.br/2020/08/05/vacinacao-adultos-de-20-a-49-anos-devem-tomar-dose-extra-da-vacina-contra-o-sarampo/,0,Not misinformation,,
Cuba fabricou vacina contra o novo coronavírus #boato - https://www.boatos.org/saude/cuba-fabricou-vacina-novo-coronavirus.html,0,Not misinformation,,
Não tem vala de prata tem q se precaver . Enquanto não tiver vacina tudo quebra galho e quem tiver q morrer vai morrer 72000 já a quanto vai estar em agosto,0,Not misinformation,,
Vacina da qualidade dos testes. Muitos falso negativo e positivo.  Mande in China,"1.3,4.2","Poor Research Quality,Pseudoscientific Claims",,
Anvisa aprova vacina contra a dengue https://noticias.uol.com.br/saude/ultimas-noticias/redacao/2023/03/02/anvisa-vacina-dengue.htm,0,Not misinformation,,
Você sabia que o diretor-geral da OMS não tomou nenhuma dose da vacina?,2.3,Conspiracy,,
Poderia haver uma lei que obrigasse ter esse teste que tem lá fora para saber se os casos de reações vem ou não das vacinas,0,Not misinformation,,
"*VACINAÇÃO CONTRA COVID COM IMUNIZANTE BIVALENTE DA PFIZER COMEÇA EM 27/2*
https://campos24horas.com.br/noticia/vacinacao-contra-covid-com-imunizante-bivalente-da-pfizer-comeca-em-27-2",0,Not misinformation,,
Deve ser fiscal de vacina,0,Not misinformation,,
"Começou a putaria de se vacinar de novo. Quero ver ate onde  vamos ficar com essa desgraça nos perseguindo.
Os bestas vão correr pra fila rapidinho. Ohhh povo besta",0,Not misinformation,,
"Treta, falar que ele queria roubar um dólar por vacina ok, agora dizer que ele tem a culpa de outra treta de COVID e suas fantasiosas mortes, aí é demais. No COVID o bozo foi 70% top, na minha opinião.",0,Not misinformation,,
*União Européia vê possível conexão de vacina da Janssen com tromboembolia*  *https://www.folhadapolitica.com/2021/10/uniao-europeia-ve-possivel-conexao-de.html?m=1*,0,Not misinformation,,
"Sem base científica, Ernesto Araújo diz que é ""normal"" alta de casos após vacinação https://www.bnews.com.br/m/noticias/politica/coronavirus/299099,sem-base-cientifica-ernesto-araujo-diz-que-e-normal-alta-de-casos-apos-vacinacao.html",0,Not misinformation,,
*O Conselho Mundial De Saúde Pede O Fim Imediato Das Vacinas Experimentais*  💣 *COMPARTILHE!*  https://covidflix.com/index.php/2022/01/31/o-conselho-mundial-de-saude-pede-o-fim-imediato-das-vacinas-experimentais/,"2.1,2.3,4.1","Fabricated Studies,Conspiracy,Alarmism",,
Israel avança na descoberta da vacina para combater o Corona Vírus. 🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱 ...............👇👇.............,0,Not misinformation,,
Proteína Spike da vacina viaja através da corrente sanguínea E se aloja em vários órgãos do corpo  Essa proteína e tóxica e a consequência pode ser desastrosa. De câncer a todos os tipos de doença podem surgir  Favor repassar para seus contatos,"4.1,4.2,6.2","Alarmism,Pseudoscientific Claims,Specific Side Effects",,
"Confrontado na #CPIdoCovid com as falas de Bolsonaro em relação às vacinas, o presidente da Anvisa, Braga Torres, disse: ""pessoas NÃO DEVEM se orientar por declarações como essas"".  E, assim, avolumam-se as provas do genocídio.",0,Not misinformation,,
Por quw agora patina na vacinação contrabo COVID? Pq é Bolsonaro,0,Not misinformation,,
Remédio pra reverter o efeito da vachina!,"3.1,4.2,7.1","Alternative Products/Therapies,Pseudoscientific Claims,Viral Myths",,
"Em junho de 2020 nem vacina pronta tinha e ele já havia fechado acordo de produção, isso prova que mesmo sem o produto, houve o interesse para compra, mais uma narrativa derrubada, próxima!",0,Not misinformation,,
Pois é...  Esses palhaços são contra vacinas mas se vacinaram...,0,Not misinformation,,
"E agora!? Ficar quieto não é? Agora Globo fala que vacina não resolve, tratamento ajuda.... E nos ficamos com cara de palhaço!","2.4,5.1","Censorship,Imperfect Protection",,
Utilizando dessa técnica de vacinação com poucas doses dará para vacinar corporação inteira 👆🏻👆🏻👆🏻,0,Not misinformation,,
"Vacinados contra covid com a 1ª dose chegam a 48,9 mi no Brasil https://www.regiaonoroeste.com/m/materias.php?id=1031608",0,Not misinformation,,
chip na vacina,"2.3,4.2,7.1","Conspiracy,Pseudoscientific Claims,Viral Myths",,
cada criança que perderem a vida por causa da vacina o judiciário deve ser responsabilizado  porque ninguém está de responsabilizando pelas vidas perdidas por esse esperimento inresponsavel dos globalistas.,"2.3,4.1,6.2","Conspiracy,Alarmism,Specific Side Effects",,
Desisti de ler qndo vi que a pseudo cientista é anti vacina,0,Not misinformation,,
*Anvisa solicita alteração de bula da vacina de Oxford para incluir risco de trombose*    https://portalnovonorte.com.br/anvisa-solicita-alteracao-de-bula-da-vacina-de-oxford-para-incluir-risco-de-trombose/,0,Not misinformation,,
Tudo sobre a vacinação da COVID em Itaguaí na LIVE ao VIVO!,0,Not misinformation,,
"Falei que apoia Bolsonaro, não a vacina",0,Not misinformation,,
Veja esta matéria: https://www.portalsbn.com.br/artigo/anvisa-inclui-sono-e-diarreia-como-reacoes-adversas-na-bula-da-vacina-da-astrazeneca - É notícia? Tá no Portal SBN | Sistema Brasileiro de Notícias!,0,Not misinformation,,
"Eu tbm tomei, 
Não tomei nenhuma vacina sem procedência",0,Not misinformation,,
Agora no Jornal está mostrando vacinas pra BB de 6 meses vacinas da COVID,0,Not misinformation,,
Enfermeira de hospital em Nova York recebe a primeira dose de vacina contra Covid-19 no estado americano - https://revista.painelpolitico.com/enfermeira-de-hospital-em-nova-york-recebe-a-primeira-dose-de-vacina-contra-covid-19-no-estado-americano/,0,Not misinformation,,
@5524974037518  vc q é contra o socialismo e estatais naturalmente vai esperar a vacina da unimed rsrsrsrs,0,Not misinformation,,
"Não, mas se vacinar às escondidas é indício de medo ou perseguição. Como foi o próprio quem disse que se vacinou às escondidas, deveria também dizer o por quê.",0,Not misinformation,,
"*Brasil q já estava entre os 4 países que mais vacinaram, é agora também o ÚNICO entre os países emergentes ou de terceiro mundo que fabrica vacinas no planeta.*  https://youtu.be/IlDY3f53EOI 👏👏👏👏👏",0,Not misinformation,,
Ou dá direita  vc já  foi comprar  a sua vacina    e comer capim,0,Not misinformation,,
Os filhos do Governo da Bahia e os filhos do Prefeito de Salvador não foram vacinados.  É sempre para a esquerda!,"2.3,5.4","Conspiracy,Low Disease Risk",,
Não comprou vacina queria propina,"2.3,4.4","Conspiracy,Financial Misconduct",,
