Mensagem,label_ids,label_names,LLM_CORRETO (S/N),OBSERVACAO_HUMANA
"https://youtu.be/GiXYMdqU5GI  🔎 *Para quem quer um pouco mais de conhecimento sobre Covid-19, Vacinas e Passaporte Sanitário.*  🔹🔸🔹🔸🔹🔸",0,Not misinformation,,
"LUCROS US$13 Bilh. Com VACINAS 4 DOSES ANUAIS EXPERIMENTAIS$!           SEM QUAISQUER GARANTIAS !?   E O ""PALHAÇO NEGACIONISTA"" SOU EU !!?","4.4,4.5","Financial Misconduct,Autonomy Rights",,
Até hj pessoas sendo enganadas quanto a eficácia dessa vacina 🤔,5.1,Imperfect Protection,,
"🇧🇷👁️💉🦠😱🤔Médicos descobrem que na vaci na, tem veneno de cobra rei em hospital nos EUA, através de autópsia em corpos de vacinados.. Legendado vale a pena. ☝️☝️☝️☝️☝️Via doc  para não perder qualidade.","2.3,4.1,4.2,6.2,7.1","Conspiracy,Alarmism,Pseudoscientific Claims,Specific Side Effects,Viral Myths",,
E vc confia nas vacinas?,0,Not misinformation,,
*Covid e gripe: vacina única do Butantan para as duas doenças tem resultados promissores*  https://serido360.com.br/covid-e-gripe-vacina-unica-do-butantan-para-as-duas-doencas-tem-resultados-promissores/,0,Not misinformation,,
"Vacina é liberada para população em geral. Mas falta vacina, veja o culpado   https://poderaopovo.com/vacina-e-liberada-para-populacao-em-geral-mas-falta-vacina-veja-o-culpado/",0,Not misinformation,,
Confira estes resultados de busca: https://twitter.com/search?q=%22Marcos%20Pontes%22&vertical=trends&s=08 ministro  Marcos Pontes lança  vacina 100 Por cento brasileira!!,0,Not misinformation,,
Muita coisa nessa vacina que não sabemos,1.4,Fallibility of Science,,
CANTOR AGNALDO TIMÓTEO MORRE DIAS APÓS TOMAR A VACINA  👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿👇🏿,"4.3,6.2","Correlation vs Causation,Specific Side Effects",,
"🔥👹 era pra imunizar, mas foi bolada pra matar.              nem sei o que é pior: virus, vacina ou doria.","2.3,4.1","Conspiracy,Alarmism",,
Sobre as causas da falta de vacinação em São Leopoldo - Ary Vanazzi (Partido dos Trabalhadores - PT)  https://www.facebook.com/watch/?v=464847728183764,0,Not misinformation,,
Vacina sempre foi uma das maiores armas da humanidade,0,Not misinformation,,
*Esposa de Wesley Safadão teria furado fila da vacinação* 👇🏼 https://www.noticiasdebrasilia.com/2021/07/esposa-de-wesley-safadao-teria-furado.html,0,Not misinformation,,
Aproveita e va tomar a vacina contra a Covid 19,0,Not misinformation,,
"*Brasil pode vacinar toda população adulta contra a Covid-19 até setembro, indica estudo*  https://www.expressodosertao.com.br/coronavirus/brasil-pode-vacinar-toda-populacao-adulta-contra-a-covid-19-ate-setembro-indica-estudo/",0,Not misinformation,,
"BOM dia  pode até SER , porém  os eleitores de Ciro Gomes a maioria  são inteligentes  e SABE que  melhor  o Lula   que Bolsonaro  que NEGOU a VACINA POR 11 vezes  para seu povo  brasileiro  só isso basta  para repudiar ele",0,Not misinformation,,
"Humanos são convocados para serem cobaias das vacinas , ainda em estudos","4.1,6.3","Alarmism,Unsafe Administration",,
Tem menos gente não vacinado logo é menor mesmo,5.2,Herd Immunity,,
Você q é um petista sem vergonha. Tem vários links q já foram postados aqui explicando a eficácia comprovada do kit cloroquina e dos números de mortes pós experiência vachina. Se você não vê é porq não quer vê.,"3.1,6.2","Alternative Products/Therapies,Specific Side Effects",,
Não pode falar de vacinação?  É dinheiro jogado fora?,0,Not misinformation,,
"Pra quem planeja viajar depois da vacina: houve demissão de pilotos durante a pandemia, mas os novos, mais arrojados, dão conta do recado... os voos estão bem tranquilos.",0,Not misinformation,,
"Cloroquiners na Paulista contra Dória e a vacina, chega a ser engraçado🤣🤣🤣🤣",0,Not misinformation,,
"o

https://noticias.uol.com.br/colunas/carlos-madeiro/2023/03/07/saude-destruiu-19-milhao-de-vacinas-contra-covid-doadas-pelos-eua-diz-tcu.htm",0,Not misinformation,,
"O Brasil é o 4° país que mais vacinou,  se chorar muito,  logo logo  vamos ser o 1° aceita que dói menos suas hienas COMUNISTAS, Zumbis do lula vírus,  jumentos comedores de capim 🤣🤣🤣🤣🤣🤣🤣",0,Not misinformation,,
Escutei em um grupo que parece que amanhã vai chegar mais 80 mil doses de vacina.,0,Not misinformation,,
"Depois que aplicou nos Paulistas , o que seria jogando fora no lixo , às vacinas comparadas na China, agora ele tomou a feita no Brasil. FDP.",0,Not misinformation,,
"Pra mim isso é mentira,estão fazendo pra vacinar menores de 12 anos,pq o número de infectados acima desse está caindo é nem no ápice da pandemia aconteceu isso","4.3,6.4","Correlation vs Causation,High-Risk Groups",,
"Escândalo no mec 
Assédio na caixa econômica 
Super faturamento nas vacinas 
Escândalo do chocolate
Forças armadas fazendo Churasco com puta, Heineken e picanha",0,Not misinformation,,
"*3% ENTRE GAROTOS*: Vacinação contra Covid-19 aumenta risco de inflamação cardíaca em adolescentes do sexo masculino, diz estudo: https://bit.ly/3TKRV2k",6.2,Specific Side Effects,,
Efeito Bolsonaro: Ritmo de vacinação no Brasil é mais que o dobro da média mundial https://informativoatitude.com.br/efeito-bolsonaro-ritmo-de-vacinacao-no-brasil-e-mais-que-o-dobro-da-media-mundial/,0,Not misinformation,,
Vacinas funcionam! Tomem vacina!,0,Not misinformation,,
"🚨🚨 *Para quem não acredita que essas VACINAS💉EXPERIMENTAL tá ferrando meio mundo, tá aí!!👇👇👇*","4.1,6.2","Alarmism,Specific Side Effects",,
*Anvisa autoriza retomada de testes da vacina CoronaVac - DF MOBILIDADE*https://www.dfmobilidade.com.br/brasil/anvisa-autoriza-retomada-de-testes-da-vacina-coronavac/,0,Not misinformation,,
E foi a vacina que ajudou com a graça de Deus,0,Not misinformation,,
"Japão declara emergência pelas sequelas das vacinas. Pede a Pfizer indenização e culpa de crime de extermínio da humanidade ! Tudo que sempre falamos no canal , se confirma","2.3,4.1,6.2","Conspiracy,Alarmism,Specific Side Effects",,
N estou falando desses E ele trouxe vacina sim,0,Not misinformation,,
Ministério da Saúde reconhece ter recusado oferta de vacina da Pfizer. - https://www.apostagem.com.br/2021/01/24/reconhecimento-de-recusa-de-oferta-da-pfizer-amplia-criticas-a-atuacao-de-bolsonaro-na-pandemia/,0,Not misinformation,,
"*Ciência não é para acreditar como religião. Ciência nos permite duvidar de tudo, até dela mesma. Na prática perdi amigos vacinados e nenhum não vacinado.*","1.1,1.4","Anecdotal Evidence,Fallibility of Science",,
*BOLSONARO TINHA RAZÃO SOBRE A VACHINA*  Coronavac tem eficácia de 42% acima dos 70 anos. Acima de 80 é ainda menor.  https://novaiguacu24h.com.br/coronavac-tem-eficacia-de-apenas-42-acima-de-70-anos/,"2.2,5.1,6.4","Selective Reporting,Imperfect Protection,High-Risk Groups",,
Veja o que aconteceu com a mulher que estava fazendo showzinho esquerdopático dentro do avião reclamando que a pessoa que estava ao lado dela não estava vacinada e poderia colocar em risco a vida dela.  https://fb.watch/90Itogznw_/  🤣🤣🤣🤣🤣🤣🤣,0,Not misinformation,,
ÉTUDOverdade Informação & Conteúdo  Covid-19: vacina de Oxford começa a ser testada em São Paulo   https://www.etudoverdade.com/446278205,0,Not misinformation,,
"PS: Uma coisa é certa, Bolsonaro tem que mandar o Exercito para combate da pandemia com as vacinas.",0,Not misinformation,,
e muitas vezes a vacina é feita em oxford,0,Not misinformation,,
Ministro anuncia desenvolvimento de vacina 100% brasileira e financiada pelo governo federal https://link.conexaopolitica.com.br/Ad8RjwmbFZ9kK2tZA,0,Not misinformation,,
💉☠️🤖 “Essa vacinação é uma coisa que já está virando acupuntura de tanta agulhada…” - *Bernardo Küster* ┄ ┄┄┄,0,Not misinformation,,
*Programa do Datena: Butatan enviou oficio à ANVISA pedindo autorização para exportar vacinas. @datenareal*,0,Not misinformation,,
PGR pede arquivamento de investigação ligada a atraso na vacinação https://bahiaon.com.br/pgr-pede-arquivamento-de-investigacao-ligada-a-atraso-na-vacinacao/,0,Not misinformation,,
"Bao, ora prorrogar o surto do vírus até que de produza mais material médico e surja um tratamento efetivo, ainda que não seja uma vacina.",0,Not misinformation,,
Vamos falar das vacinas e deixa o Lula quieto,0,Not misinformation,,
Cobrança de passaporte da vacina para viajantes deve começar hoje https://terrabrasilnoticias.com/2021/12/cobranca-de-passaporte-da-vacina-para-viajantes-deve-comecar-hoje/,0,Not misinformation,,
O Bolsonaro matou 400mil pessoas porque não queria comprar vacinas agora esta matando de fome,0,Not misinformation,,
"Não tome a vacina da China, Tome. comprimidos ivermectina","3.2,4.1","Alternatives to Vaccination,Alarmism",,
O bolsonaro esperou 1 vacina segura,0,Not misinformation,,
*A boa notícia sobre as vacinas em testes: a vacina de Oxiford é mais eficiente com apenas uma única dose.*  https://youtu.be/ecjTPheuZVA,0,Not misinformation,,
É assim que a Romênia faz ... 70% de todos os cidadãos recusando a Vacina e as ditaduras ....,4.5,Autonomy Rights,,
COMUNISTAS FILHAS DA PUTA NÃO SABEM NEM ENGANAR RAÇA NEFASTA .   NÃO TOMEM VACINA EM HIPOTESE ALGUMA NUNCA NÃO CAI NESTA CILADRA NAZISTA . POR FAVOR,"2.3,4.1,4.5","Conspiracy,Alarmism,Autonomy Rights",,
"Vc está contando estória, e eu mostrando fatos, compras de vacinas em JUNHO de 2020, criação de lei para compra de mais vacinas, sem contar que o Brasil é o terceiro maior país que vacinou no mundo",0,Not misinformation,,
Tá com a vacina atrasada que o prefeito daqui é pior que o bolsonaro,0,Not misinformation,,
Até o FDP do Bolsonaro deve ter se vacinado e não disse isso pra ninguém,0,Not misinformation,,
*H1 N1 TEM VACINA PARA TODA A POPULAÇÃO  E ANTI-VIRAL EFIICAZ  E RECOMENDADO POR MÉDICOS  E CIENTISTAS*,0,Not misinformation,,
"VACINAS FAZENDO O MAIOR EXTERMÍNIO EM MASSA DA HISTÓRIA...
É DE NORTE A SUL E DE LESTE A OESTE
A VACINA ESTA MATANDO TODOS!!!",4.1,Alarmism,,
Vacina contra Covid-19: SFI recebe mais 1.014 doses nesta sexta-feira https://www.tribunanf.com.br/vacina-contra-covid-19-sfi-recebe-mais-1-014-doses-nesta-sexta-feira/,0,Not misinformation,,
QUEM VAI TOMAR A VACINA DÓRIA E CHINA ?,"4.1,2.3","Alarmism,Conspiracy",,
Especialista que analisou dados do SUS se diz surpreso com número de mortes de vacinados ☛ https://terrabrasilnoticias.com/2021/10/especialista-que-analisou-dados-do-sus-se-diz-surpreso-com-numero-de-mortes-de-vacinados/,"4.3,5.1,6.2","Correlation vs Causation,Imperfect Protection,Specific Side Effects",,
Não seja massa de manobras e nem cobaias desta classe mais baixa que existe hoje no Brasil chamados de políticos. O desespero pela vacina mortal.  Este tumor ainda está vivo até quando ??? ADOLF HITLER DORIA .,"2.3,4.1,6.2","Conspiracy,Alarmism,Specific Side Effects",,
O mais lógica é que a vacina China está com o virus🤣🤣🤣,6.1,Direct Transmission,,
*Calcinha apertada diz que vai implantar passaporte da vacina em SP se Bolsonaro não adotar medida*      https://atrombetanews.com.br/2021/12/08/calcinha-apertada-diz-que-vai-implantar-passaporte-da-vacina-em-sp-se-bolsonaro-nao-adotar-medida/,0,Not misinformation,,
Sabe o que eu não entendo?? E isso eu já falei para pessoas da minha família. Se a vacina funciona porque eu tenho que tomar também? Não basta a pessoa? Ou se toma para o outro. ??,"5.1,5.2","Imperfect Protection,Herd Immunity",,
*VÍDEO: Mulher leva marido amarrado a posto de saúde para tomar vacina anti-covid*  https://www.reconcavonews.com/2022/02/mulher-leva-marido-amarrado-posto-de.html,0,Not misinformation,,
"""Agência da Suécia não recomenda que crianças de 5 a 11 anos sejam vacinadas contra a Covid"" https://www.gazetadopovo.com.br/mundo/agencia-suecia-vacinacao-criancas/amp/",0,Not misinformation,,
FMS inicia vacinação de pessoas com comorbidades em Teresina https://webnewss.com.br/fms-inicia-vacinacao-de-pessoas-com-comorbidades-em-teresina/,0,Not misinformation,,
*VACINAÇÃO NOTURNA: CAMPOS LIBERA 450 VAGAS PARA AGENDAMENTO ONLINE* https://campos24horas.com.br/noticia/vacinacao-noturna-campos-libera-450-vagas-para-agendamento-online,0,Not misinformation,,
"Se ele não tivesse tomado a vacina, não conseguiria dar entrada no visto",0,Not misinformation,,
Canalhas !!! Ta todo mundo vacinado,0,Not misinformation,,
ÁUDIO: FUNCIONÁRIA DE HOSPITAL ALERTA QUE TODOS LÁ TOMARAM A VACINA BIVALENTE E TODOS ESTÃ O PASSANDO MAL. MUITOS NÃO CONSEGUEM ANDAR.,"1.1,4.1,6.2","Anecdotal Evidence,Alarmism,Specific Side Effects",,
Um milhão de doses da vacina da Pfizer chegam ao Brasil hoje a tarde!!!,0,Not misinformation,,
Câmara avalia liberar venda ao setor privado de vacina sem aval da Anvisa https://webnewss.com.br/camara-avalia-liberar-venda-ao-setor-privado-de-vacina-sem-aval-da-anvisa/,0,Not misinformation,,
A farsa das vacinas sendo desmascarada nos EUA e vc não tá sabendo de nada! #globolixo nunca vai falar nada a respeito 🤡,"2.3,2.4","Conspiracy,Censorship",,
Parece loucura.  O Brasil uma baderna e essa besteira de anti vacina,0,Not misinformation,,
"Gado cego , vá tomar a vacina da vaca louca",0,Not misinformation,,
Que seu presidente nao comprou vacina e tem pessoas morrendo por isso ?,0,Not misinformation,,
"*VACINA CONTRA COVID-19 EM CRIANÇAS DE 3 A 5 ANOS: VEJA O QUE SE SABE*
https://www.campos24horas.com.br/noticia/vacina-contra-covid-19-em-criancas-de-3-a-5-anos-veja-o-que-se-sabe",0,Not misinformation,,
"É mt estranho a China ter tido só aqueles casos, por isso a teoria de já ter vacinado o povo de lá",2.3,Conspiracy,,
"🔥LINHA BENGHAZI  21/04   ""Empresas capitalistas produzem vírus para que possam gerar e vender vacinas"" -Muammar Gaddafi, 2009 🦠  Ele sabia.   @FYIBRASIL","2.3,4.4","Conspiracy,Financial Misconduct",,
"Eu jamás daria uma vacina dessa em meu filho agora, os pais de hj todos apatetados que não tem a mínima condições de raciocínio básico, acontece isso...isso é um pecado mortal o povo vai pagar muito caro por isso...","4.5,6.4,7.2","Autonomy Rights,High-Risk Groups,Religious/Ethical Beliefs",,
"Matar todo mundo com negligência a vacina? Claro q era sim a vontade do povo, confia","2.3,6.3","Conspiracy,Unsafe Administration",,
"E o gado se dizendo anti vacina e cloroquina, bastou uma propina e em dólar pra liberar a vacina","2.3,4.4","Conspiracy,Financial Misconduct",,
pq:  1 se vacinas reduzem o número de mortes 2 e as vacinas demoraram a ser compradas  só se pode concluir que várias pessoas que morreram poderiam não ter morrido pq deveriam estar vacinadas,0,Not misinformation,,
Não tem um ano da vacina e já estamos na terceira dose,5.1,Imperfect Protection,,
Imprensa distorce o motivo da doença tirando a culpa da vacina!😡,"2.3,2.4,4.3","Conspiracy,Censorship,Correlation vs Causation",,
"*Com 60% da população vacinada, mortes e casos de covid-19 caem 40%*  *ACESSE O SITE*  https://www.campobeloemfoco.com.br/noticia/18048/com-60-da-populacao-vacinada-mortes-e-casos-de-covid-19-caem-40-",0,Not misinformation,,
OS INIMIGOS ESTÃO CIENTES DE QUE AINDA NÃO TEM VACINAS PARA TODOS.,0,Not misinformation,,
Passando 8 meses do ocorrido a fizer disse que poderia ser mantida a vacina a 20 graus e blsonaro comprou mais de 100 milhões de doses,0,Not misinformation,,
Voltou p vacina seu terraplanista,0,Not misinformation,,
Só uma pergunta. A carteirinha de vacinação desse ex Governador tá em dia? Então o Alexandre de Moraes tá certo. Porque no Brasil só vai pra cadeia quem não tá em dia com a carteirinha de vacinação.  Kkk,0,Not misinformation,,
Na hora de pegar o auxílio emergencial não reclamaram dele na pandemia de pegar o bolsa família também não de tomar as vacinas porquê não recusaram tudo que vem dele,0,Not misinformation,,
