Mensagem,label_ids,label_names,LLM_CORRETO (S/N),OBSERVACAO_HUMANA
"*COBERTURA VACINAL E REDUÇÃO DE FILAS NA SAÚDE SÃO DESAFIOS DO GOVERNO*
https://campos24horas.com.br/noticia/cobertura-vacinal-e-reducao-de-filas-na-saude-sao-desafios-do-governo",0,Not misinformation,,
Vacine vc meu amigo pq eu não quero ter trombose estou muito bem sem tomar essa vacina feito em fundo de quintal e que tem brasileiro burro igual a vc se vc quer mora em um cemitério vá sozinho não convide ninguém blza fuiiiiiiiiiii 🤣🤣🤣🤣🤣🤣,"6.2,4.1","Specific Side Effects,Alarmism",,
O padre vacinado recentemente tomba e morre durante a transmissão ao vivo da Igreja. https://m.facebook.com/SoloEnAcapulco/videos/227452922544400/ @LaurenWitzkeOfficial,4.3,Correlation vs Causation,,
"Eu tomei cloroquina, 
Tomei os outros Remédios 


Já meu parente não tomou nenhuma vacina 

Então e muito relativo","1.1,3.1,3.2","Anecdotal Evidence,Alternative Products/Therapies,Alternatives to Vaccination",,
"Pega leve BOLSONARO, menos de um mês: MP do futebol DOAÇÃO bares e restaurantes aos pobres AUXÍLIO mais 3 meses  CNH pra 10 anos e 40 pontos ÁGUA para o Nordeste  VACINA para o Brasil",0,Not misinformation,,
"https://www.aboutfarma.com.br/secaomobile/saude/185/estudo-sugere-que-vacina-contra-a-dengue-pode-aumentar-casos-graves-da-doenca

*Achei! Tentativa fracassada de vacina da dengue em 2016.*","1.2,4.1","Outdated Research,Alarmism",,
Covid-19: Brasil supera EUA em proporção de vacinados com a 1ª dose ☛ https://terrabrasilnoticias.com/2021/10/covid-19-brasil-supera-eua-em-proporcao-de-vacinados-com-1a-dose/,0,Not misinformation,,
"*O esforço feito em junho de 2020 pelo Governo Jair Bolsonaro possibilitou ao Brasil ser, em breve, autossuficiente em produção de vacinas, já que produzirá também o insumo, tão escasso hoje no mundo.*  https://t.co/dreOHVW9g6",0,Not misinformation,,
"Aquela narrativa que diz que a vacinação diminuiu as mortes por Covid, desmontada em uma imagem.  Dados Worldmeter.","1.2,2.2","Outdated Research,Selective Reporting",,
Elielson Sidronio Portal do Suburbio   VACINA CONTRA A COVID-19 CHEGA PARA QUEM TEM 38 ANOS OU MAIS EM SALVADOR http://portaldosuburbio.com.br/noticias/vacina-contra-a-covid-19-chega-para-quem-tem-38-anos-ou-mais-em-salvador,0,Not misinformation,,
O LADRAO 9 DEDO DEFENDE O ISOLAMENTO PARA OS NAO VACINADOS,"2.3,4.1","Conspiracy,Alarmism",,
"Com nova remessa, Butantan entrega mais de 80% de vacinas previstas para abril https://webnewss.com.br/com-nova-remessa-butantan-entrega-mais-de-80-de-vacinas-previstas-para-abril/",0,Not misinformation,,
"*Cidades | Portal TeleLi* 🟦🟩🟥

- Confira os pontos de vacinação contra a Covid-19 neste sábado (1).

*Saiba mais, no link:* https://www.portalteleli.com.br/2023/04/01/manaus-oferta-nove-pontos-de-vacinacao-contra-a-covid-neste-sabado-1o/",0,Not misinformation,,
